Delta,Theta,Alpha,Beta,Gamma,Mood
434547.05184358853,123670.07968349205,112726.30539381717,68205.98933322461,35017.36912379453,Happy
927649.6201718159,497649.1827915929,371080.3008704151,804996.4308617621,80519.61009620632,Happy
1858106.0134878263,393578.639288303,172691.36065738357,111387.00131241637,57465.37732605899,Happy
1338809.739363569,656545.3915635814,474791.6902061419,1067841.3069697837,109843.04575127292,Happy
2921053.509523834,611642.0809696557,879615.507286868,750688.0637766705,135639.10646288117,Happy
1420739.9408737845,809795.4738232006,371079.7457238447,783451.1622243751,93958.36669103071,Happy
4277663.412880277,596979.0665641208,640698.8278873573,286905.071223787,57456.69986466842,Happy
3548623.6609806963,482479.5681837703,255297.94506921823,119208.46396619984,34046.246734798435,Happy
1969139.8057605228,961037.5673796029,560441.5170599602,674166.8680486991,89951.33838674742,Happy
10824810.88296351,388246.36567187257,253861.17253698173,941960.6967694651,104083.35652076115,Sad
148022567.90797183,3284862.46817367,860786.7557027881,672078.1958362294,110853.00585645213,Sad
9388981.010315415,1002581.8721690702,280588.0579601687,1234014.8607024911,122331.42169102024,Sad
1003354.5009633483,288182.4569069315,118888.25301667555,1285711.3579159454,116220.39194808158,Sad
2292186.7124466444,356757.1363199627,293770.9422880246,1453087.1427877287,121651.33506340458,Sad
513035.0555397384,126571.87529990995,317060.90682922833,1223957.6509342792,129923.48700494689,Sad
28781677.21033893,845839.8354574555,510443.2292085032,888201.2178496041,114482.6126038514,Sad
13710051.840379622,355039.8205549187,236236.25223395805,1307234.141137046,127258.73530370752,Sad
1961816.5194344067,293492.90344523237,259870.95291607597,1234748.221830629,117980.18985398924,Sad
1403073.2679257202,297802.4293632688,143265.13954346898,1064851.320401062,101234.38823957334,Sad
2121389.2682187385,175639.29910452163,310113.07354024425,582079.0620383447,102718.26472999525,Angry
3177153.918998657,951393.3780540336,576934.215377222,416199.9055701399,84962.65843707335,Angry
52160014.643984325,277187.9430620493,441459.9903711911,521120.77291576675,81915.28974205219,Angry
3218773.250097224,127081.65919750756,425424.32712138176,518810.5174925665,98870.93419895467,Angry
7158081.617469467,1431332.5092227554,672404.3198243101,416901.92772930075,101935.96101194958,Angry
521777.54936892714,248923.9465998425,616994.4811503883,438244.349221481,77863.69750753653,Angry
906943.1278899002,330582.5821784229,370509.419492746,466481.77907384594,82236.38023917655,Angry
372723.9261365784,265830.41272885946,347558.4845385041,505835.55831496255,79639.9599096346,Angry
825690.8963482087,248643.79414928655,247226.67146857866,603515.151262923,80564.75652686755,Angry
510250.871344704,312665.5366142,636418.6965977973,419694.1364038937,93639.04364815987,Angry
1360035.3666882138,735139.0920512856,2082679.2689532517,413791.7775305473,127565.24995394955,Relaxed
4253227.854353367,951962.3282854183,1216954.7482327104,513919.2473104173,109495.97389988897,Relaxed
1296153.492783086,680365.3449677435,1538387.0282549176,558555.325202161,138313.20410805146,Relaxed
2768622.5702606845,929934.2709333939,1288514.4029594504,941514.8062533046,166869.14378923253,Relaxed
3282672.8738712682,523450.4378794376,2128440.2146238955,316441.2716928146,122023.11170086553,Relaxed
6586459.460509789,2344256.425713279,1785835.2315405859,369448.165484005,134460.6603918501,Relaxed
1415849.498167673,824488.3348598713,2773328.3521372946,535113.4667548621,147902.87446313573,Relaxed
4735767.486010849,1270244.3004142267,2533150.606910275,471290.843905777,120640.91540937734,Relaxed
2802383.7270980924,526646.9357182302,1857194.4821275293,409034.3793909496,129928.34007223864,Relaxed
10538833.987999087,1185317.1440966697,2306581.411767535,464396.0643510444,131852.00100549657,Relaxed
